Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202503,01,001,3,6,Autauga County                                              ,19,19,8305306,0,0,0,0,0,0,0,0,0,19,19,8305306,0,0,0,0,0,0,0,0,0
202503,01,003,3,6,Baldwin County                                              ,227,227,73794700,1,2,158000,0,0,0,0,0,0,185,185,61325727,1,2,158000,0,0,0,0,0,0
202503,01,005,3,6,Barbour County                                              ,2,2,568000,0,0,0,0,0,0,0,0,0,2,2,568000,0,0,0,0,0,0,0,0,0
202503,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,009,3,6,Blount County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,013,3,6,Butler County                                               ,2,2,182356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,015,3,6,Calhoun County                                              ,20,20,2780704,0,0,0,0,0,0,0,0,0,19,19,2441050,0,0,0,0,0,0,0,0,0
202503,01,017,3,6,Chambers County                                             ,3,3,429300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,019,3,6,Cherokee County                                             ,1,1,212300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,021,3,6,Chilton County                                              ,2,2,448939,0,0,0,0,0,0,0,0,0,1,1,165000,0,0,0,0,0,0,0,0,0
202503,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,025,3,6,Clarke County                                               ,1,1,286090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,027,3,6,Clay County                                                 ,1,1,286434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,029,3,6,Cleburne County                                             ,1,1,286433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,031,3,6,Coffee County                                               ,23,23,4155188,0,0,0,0,0,0,0,0,0,23,23,4155188,0,0,0,0,0,0,0,0,0
202503,01,033,3,6,Colbert County                                              ,6,6,785158,0,0,0,0,0,0,0,0,0,3,3,373360,0,0,0,0,0,0,0,0,0
202503,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,039,3,6,Covington County                                            ,1,1,339211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,043,3,6,Cullman County                                              ,19,19,4861109,0,0,0,0,0,0,0,0,0,17,17,4581109,0,0,0,0,0,0,0,0,0
202503,01,045,3,6,Dale County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202503,01,047,3,6,Dallas County                                               ,1,1,124868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
