Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202504,01,001,3,6,Autauga County                                              ,13,13,5869336,0,0,0,0,0,0,0,0,0,13,13,5869336,0,0,0,0,0,0,0,0,0
202504,01,003,3,6,Baldwin County                                              ,253,253,97884181,0,0,0,0,0,0,1,5,1265716,202,202,80974098,0,0,0,0,0,0,1,5,1265716
202504,01,005,3,6,Barbour County                                              ,3,3,771800,0,0,0,0,0,0,0,0,0,3,3,771800,0,0,0,0,0,0,0,0,0
202504,01,007,3,6,Bibb County                                                 ,1,1,439215,0,0,0,0,0,0,0,0,0,1,1,439215,0,0,0,0,0,0,0,0,0
202504,01,009,3,6,Blount County                                               ,2,2,366250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,015,3,6,Calhoun County                                              ,10,10,1482909,2,4,600000,0,0,0,0,0,0,8,8,1002040,2,4,600000,0,0,0,0,0,0
202504,01,017,3,6,Chambers County                                             ,3,3,455002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,019,3,6,Cherokee County                                             ,1,1,60000,0,0,0,0,0,0,0,0,0,1,1,60000,0,0,0,0,0,0,0,0,0
202504,01,021,3,6,Chilton County                                              ,8,8,1124000,0,0,0,0,0,0,0,0,0,8,8,1124000,0,0,0,0,0,0,0,0,0
202504,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,025,3,6,Clarke County                                               ,1,1,170333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,027,3,6,Clay County                                                 ,1,1,150477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,031,3,6,Coffee County                                               ,18,18,4379667,0,0,0,0,0,0,0,0,0,17,17,4006000,0,0,0,0,0,0,0,0,0
202504,01,033,3,6,Colbert County                                              ,5,5,688149,0,0,0,0,0,0,0,0,0,2,2,212017,0,0,0,0,0,0,0,0,0
202504,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,039,3,6,Covington County                                            ,1,1,279507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504,01,043,3,6,Cullman County                                              ,19,19,2989304,0,0,0,0,0,0,0,0,0,16,16,2263666,0,0,0,0,0,0,0,0,0
202504,01,045,3,6,Dale County                                                 ,3,3,1044589,0,0,0,0,0,0,0,0,0,2,2,757000,0,0,0,0,0,0,0,0,0
