Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202506,01,001,3,6,Autauga County                                              ,19,19,7948002,0,0,0,0,0,0,0,0,0,19,19,7948002,0,0,0,0,0,0,0,0,0
202506,01,003,3,6,Baldwin County                                              ,185,185,72351916,2,4,720000,0,0,0,0,0,0,159,159,62376144,2,4,720000,0,0,0,0,0,0
202506,01,005,3,6,Barbour County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,009,3,6,Blount County                                               ,1,1,282917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,015,3,6,Calhoun County                                              ,8,8,1884946,0,0,0,0,0,0,0,0,0,7,7,1593410,0,0,0,0,0,0,0,0,0
202506,01,017,3,6,Chambers County                                             ,2,2,303335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,019,3,6,Cherokee County                                             ,1,1,212300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,021,3,6,Chilton County                                              ,5,5,878162,0,0,0,0,0,0,0,0,0,4,4,670000,0,0,0,0,0,0,0,0,0
202506,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,025,3,6,Clarke County                                               ,1,1,170333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,029,3,6,Cleburne County                                             ,1,1,252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,031,3,6,Coffee County                                               ,11,11,2696519,0,0,0,0,0,0,1,5,809091,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,033,3,6,Colbert County                                              ,8,8,1041142,0,0,0,0,0,0,0,0,0,6,6,766610,0,0,0,0,0,0,0,0,0
202506,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,039,3,6,Covington County                                            ,2,2,421757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,043,3,6,Cullman County                                              ,4,4,482452,0,0,0,0,0,0,0,0,0,3,3,323800,0,0,0,0,0,0,0,0,0
202506,01,045,3,6,Dale County                                                 ,1,1,205000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506,01,047,3,6,Dallas County                                               ,1,1,97853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
