Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202508,01,001,3,6,Autauga County                                              ,12,12,5277014,0,0,0,0,0,0,0,0,0,12,12,5277014,0,0,0,0,0,0,0,0,0
202508,01,003,3,6,Baldwin County                                              ,196,196,64691495,1,2,250000,0,0,0,0,0,0,180,180,60881892,1,2,250000,0,0,0,0,0,0
202508,01,005,3,6,Barbour County                                              ,1,1,278750,1,2,854180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,009,3,6,Blount County                                               ,1,1,282917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,015,3,6,Calhoun County                                              ,9,9,1472609,0,0,0,0,0,0,0,0,0,7,7,991740,0,0,0,0,0,0,0,0,0
202508,01,017,3,6,Chambers County                                             ,3,3,455002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,019,3,6,Cherokee County                                             ,2,2,512300,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
202508,01,021,3,6,Chilton County                                              ,2,2,220900,0,0,0,0,0,0,0,0,0,2,2,220900,0,0,0,0,0,0,0,0,0
202508,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,027,3,6,Clay County                                                 ,1,1,150477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,029,3,6,Cleburne County                                             ,1,1,252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,031,3,6,Coffee County                                               ,21,21,3966181,0,0,0,0,0,0,0,0,0,20,20,3592514,0,0,0,0,0,0,0,0,0
202508,01,033,3,6,Colbert County                                              ,9,9,2175040,0,0,0,0,0,0,0,0,0,6,6,1698908,0,0,0,0,0,0,0,0,0
202508,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,039,3,6,Covington County                                            ,2,2,421757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508,01,043,3,6,Cullman County                                              ,5,5,672305,0,0,0,0,0,0,0,0,0,4,4,513653,0,0,0,0,0,0,0,0,0
202508,01,045,3,6,Dale County                                                 ,5,5,237143,0,0,0,0,0,0,0,0,0,4,4,160000,0,0,0,0,0,0,0,0,0
202508,01,047,3,6,Dallas County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
