Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202510,01,001,3,6,Autauga County                                              ,18,18,7033773,0,0,0,0,0,0,0,0,0,18,18,7033773,0,0,0,0,0,0,0,0,0
202510,01,003,3,6,Baldwin County                                              ,184,184,65451677,1,2,326655,0,0,0,0,0,0,148,148,53347001,1,2,326655,0,0,0,0,0,0
202510,01,005,3,6,Barbour County                                              ,1,1,346000,0,0,0,0,0,0,0,0,0,1,1,346000,0,0,0,0,0,0,0,0,0
202510,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,009,3,6,Blount County                                               ,1,1,83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,013,3,6,Butler County                                               ,1,1,294467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,015,3,6,Calhoun County                                              ,6,6,916336,0,0,0,0,0,0,0,0,0,5,5,624800,0,0,0,0,0,0,0,0,0
202510,01,017,3,6,Chambers County                                             ,1,1,269714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,019,3,6,Cherokee County                                             ,7,7,862300,0,0,0,0,0,0,0,0,0,6,6,650000,0,0,0,0,0,0,0,0,0
202510,01,021,3,6,Chilton County                                              ,5,5,1266700,0,0,0,0,0,0,0,0,0,5,5,1266700,0,0,0,0,0,0,0,0,0
202510,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,025,3,6,Clarke County                                               ,1,1,286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,031,3,6,Coffee County                                               ,22,22,4144144,0,0,0,0,0,0,0,0,0,22,22,4144144,0,0,0,0,0,0,0,0,0
202510,01,033,3,6,Colbert County                                              ,6,6,880468,0,0,0,0,0,0,0,0,0,3,3,404336,0,0,0,0,0,0,0,0,0
202510,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,039,3,6,Covington County                                            ,2,2,529507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,01,043,3,6,Cullman County                                              ,31,31,6132808,0,0,0,0,0,0,0,0,0,30,30,5974156,0,0,0,0,0,0,0,0,0
202510,01,045,3,6,Dale County                                                 ,6,6,783890,0,0,0,0,0,0,0,0,0,6,6,783890,0,0,0,0,0,0,0,0,0
202510,01,047,3,6,Dallas County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
